sp,temp,time,medium,gr,ptl
0,5,2,1,0,0
0,10,2,1,0,0
0,15,2,1,0,0
0,20,2,1,0,0
0,25,2,1,0,0
0,30,2,1,0,0
0,35,2,1,0,0
0,5,6,1,0,0
0,10,6,1,0,0
0,15,6,1,0.00,0
0,20,6,1,0,0
0,25,6,1,0,0.00
0,30,6,1,0,0.00
0,35,6,1,0,0.00
0,5,12,1,0,0.00
0,10,12,1,0,0.00
0,15,12,1,0,0.00
0,20,12,1,14.21,72.84
0,25,12,1,18.65,78.91
0,30,12,1,7.11,51.23
0,35,12,1,1.21,45.57
0,5,24,1,1.17,43.28
0,10,24,1,1.29,43.57
0,15,24,1,10.25,65.81
0,20,24,1,31.85,93.48
0,25,24,1,51.24,91.82
0,30,24,1,47.82,90.36
0,35,24,1,40.31,87.25
0,5,2,2,0,0.00
0,10,2,2,0,0.00
0,15,2,2,0,0.00
0,20,2,2,0,0.00
0,25,2,2,1.58,51.36
0,30,2,2,1,32.20
0,35,2,2,1,30.00
0,5,6,2,0,0.00
0,10,6,2,0,0.00
0,15,6,2,1.07,10.24
0,20,6,2,2.84,13.20
0,25,6,2,3.01,12.48
0,30,6,2,2.56,11.25
0,35,6,2,2.3,11.98
0,5,12,2,0,0.00
0,10,12,2,0,0.00
0,15,12,2,2.06,67.54
0,20,12,2,6.51,70.23
0,25,12,2,8.91,79.87
0,30,12,2,7.85,69.54
0,35,12,2,5.24,45.38
0,5,24,2,1.03,24.35
0,10,24,2,5.21,50.64
0,15,24,2,8.34,68.71
0,20,24,2,13.69,91.30
0,25,24,2,49.69,94.83
0,30,24,2,41.36,88.52
0,35,24,2,34.67,68.45
0,5,2,3,0,0.00
0,10,2,3,0,0.00
0,15,2,3,1.25,22.36
0,20,2,3,2.35,28.87
0,25,2,3,2.45,29.87
0,30,2,3,2.01,27.79
0,35,2,3,1.61,21.98
0,5,6,3,0,0.00
0,10,6,3,1.02,38.82
0,15,6,3,2.99,45.00
0,20,6,3,3.47,48.14
0,25,6,3,4.11,48.74
0,30,6,3,5.03,65.85
0,35,6,3,4.08,61.28
0,5,12,3,0,0.00
0,10,12,3,0,0.00
0,15,12,3,1.06,21.36
0,20,12,3,1.43,21.79
0,25,12,3,2.71,28.45
0,30,12,3,1.84,24.98
0,35,12,3,1.77,28.74
0,5,24,3,0,0.00
0,10,24,3,1.17,20.87
0,15,24,3,5.57,24.48
0,20,24,3,51.95,88.92
0,25,24,3,57.96,91.68
0,30,24,3,47.68,89.91
0,35,24,3,50.67,90.24
1,5,2,1,0,0
1,10,2,1,0,0
1,15,2,1,0,0
1,20,2,1,0,0
1,25,2,1,0,0
1,30,2,1,0,0
1,35,2,1,0,0
1,5,6,1,0,0
1,10,6,1,0,0
1,15,6,1,0.00,0
1,20,6,1,1.74,73.65
1,25,6,1,2.98,77.69
1,30,6,1,2.51,80.67
1,35,6,1,3.01,85.67
1,5,12,1,0,0.00
1,10,12,1,0,0.00
1,15,12,1,1.24,66.58
1,20,12,1,10.87,81.69
1,25,12,1,21.98,88.61
1,30,12,1,25.64,90.14
1,35,12,1,21.64,90.24
1,5,24,1,3.14,49.87
1,10,24,1,3.65,54.96
1,15,24,1,7.1,54.23
1,20,24,1,45.88,85.62
1,25,24,1,48.27,84.37
1,30,24,1,51.2,89.78
1,35,24,1,51.01,92.64
1,5,2,2,0,0.00
1,10,2,2,0,0.00
1,15,2,2,0,0.00
1,20,2,2,2.64,21.45
1,25,2,2,2.58,25.94
1,30,2,2,4.08,34.78
1,35,2,2,4.65,38.79
1,5,6,2,1.07,19.87
1,10,6,2,1.64,18.54
1,15,6,2,1.91,24.00
1,20,6,2,4.03,32.78
1,25,6,2,3.98,34.20
1,30,6,2,4.5,35.43
1,35,6,2,4.09,29.45
1,5,12,2,1.34,22.22
1,10,12,2,1.25,18.78
1,15,12,2,1.91,23.45
1,20,12,2,4.98,46.25
1,25,12,2,14.65,60.58
1,30,12,2,12.3,61.58
1,35,12,2,12.3,60.64
1,5,24,2,3.99,50.85
1,10,24,2,5.14,54.69
1,15,24,2,17.96,70.65
1,20,24,2,54.61,91.03
1,25,24,2,69.02,115.03
1,30,24,2,64.58,114.23
1,35,24,2,67.89,116.21
1,5,2,3,0,0.00
1,10,2,3,0,0.00
1,15,2,3,0,0.00
1,20,2,3,1.16,11.45
1,25,2,3,2.23,30.14
1,30,2,3,0,0.00
